arm,rung,case,repeat,json_valid,verdict,score,deployed,correct,expected_deploy,in_tokens,out_tokens,latency_s,error,response_chars
groq_llama3.1_8b,P0,bad,0,True,probation,0.62,True,False,False,1359,730,1.35,,2646
groq_llama3.1_8b,P0,bad,1,True,probation,0.67,True,False,False,1359,833,1.74,,3072
groq_llama3.1_8b,P0,bad,2,True,probation,0.54,True,False,False,1359,287,0.74,,1074
groq_llama3.1_8b,P0,overfitted,0,True,probation,0.67,True,False,False,1375,482,1.12,,1995
groq_llama3.1_8b,P0,overfitted,1,True,probation,0.61,True,False,False,1375,490,1.14,,2004
groq_llama3.1_8b,P0,overfitted,2,True,probation,0.73,True,False,False,1375,764,1.67,,3261
groq_llama3.1_8b,P0,solid,0,True,pass,0.86,True,True,True,1381,526,1.16,,2240
groq_llama3.1_8b,P0,solid,1,True,pass,0.88,True,True,True,1381,588,1.16,,2286
groq_llama3.1_8b,P0,solid,2,True,probation,0.84,True,True,True,1381,493,1.16,,1927
groq_llama3.1_8b,P0,borderline,0,True,probation,0.57,True,,,1359,1144,2.4,,4094
groq_llama3.1_8b,P0,borderline,1,True,probation,0.73,True,,,1359,578,1.1,,1867
groq_llama3.1_8b,P0,borderline,2,True,probation,0.72,True,,,1359,256,0.6,,936
groq_llama3.1_8b,P1,bad,0,True,probation,0.53,True,False,False,1530,290,0.65,,1134
groq_llama3.1_8b,P1,bad,1,True,probation,0.55,True,False,False,1530,311,0.69,,1119
groq_llama3.1_8b,P1,bad,2,True,fail,0.22,False,True,False,1530,288,0.76,,1040
groq_llama3.1_8b,P1,overfitted,0,True,probation,0.67,True,False,False,1546,263,0.68,,1019
groq_llama3.1_8b,P1,overfitted,1,True,probation,0.62,True,False,False,1546,819,1.4,,2965
groq_llama3.1_8b,P1,overfitted,2,True,probation,0.69,True,False,False,1546,261,0.59,,1036
groq_llama3.1_8b,P1,solid,0,True,pass,0.9,True,True,True,1552,280,0.65,,1081
groq_llama3.1_8b,P1,solid,1,True,pass,0.85,True,True,True,1552,475,0.95,,1891
groq_llama3.1_8b,P1,solid,2,True,fail,0.0,False,False,True,1552,1142,2.17,,5110
groq_llama3.1_8b,P1,borderline,0,False,,,,,,1530,843,1.48,,3351
groq_llama3.1_8b,P1,borderline,1,True,pass,0.83,True,,,1530,265,0.65,,1009
groq_llama3.1_8b,P1,borderline,2,True,probation,0.63,True,,,1530,509,1.05,,2048
groq_llama3.1_8b,P2,bad,0,True,fail,0.18,False,True,False,1741,258,0.63,,946
groq_llama3.1_8b,P2,bad,1,True,fail,0.14,False,True,False,1741,686,1.35,,2193
groq_llama3.1_8b,P2,bad,2,True,fail,0.16,False,True,False,1741,788,1.79,,2450
groq_llama3.1_8b,P2,overfitted,0,True,probation,0.33,True,False,False,1757,861,1.44,,2539
groq_llama3.1_8b,P2,overfitted,1,True,fail,0.27,False,True,False,1757,966,1.73,,2824
groq_llama3.1_8b,P2,overfitted,2,True,fail,0.32,False,True,False,1757,830,1.39,,2426
groq_llama3.1_8b,P2,solid,0,True,probation,0.33,True,True,True,1763,656,1.2,,2060
groq_llama3.1_8b,P2,solid,1,True,probation,0.43,True,True,True,1763,777,1.37,,2486
groq_llama3.1_8b,P2,solid,2,True,fail,0.73,False,False,True,1763,888,1.44,,2645
groq_llama3.1_8b,P2,borderline,0,True,probation,0.6,True,,,1741,673,1.16,,1843
groq_llama3.1_8b,P2,borderline,1,True,pass,0.62,True,,,1741,780,1.63,,2688
groq_llama3.1_8b,P2,borderline,2,True,probation,0.34,True,,,1741,425,0.88,,1433
groq_llama3.1_8b,P3,bad,0,True,probation,0.38,True,False,False,1851,683,1.32,,2111
