version,case,repeat,verdict,score,deployed,expected_deploy,correct,n_challenges,diagnosis,error
v1,bad,1,fail,0.0,False,False,True,5,"This strategy fails on three of five criteria, including one catastrophic failure, making it unviable for live trading. The economic mechanism (RSI oversold pullback filtered by EMA trend) is conceptually sound but the implementation produces no measurable edge in practice. The profit factor of 0.61",
v1,bad,2,fail,0.0,False,False,True,6,"This strategy fails on two criteria catastrophically and shows no compensating strength elsewhere. The profit factor of 0.58–0.61 (post-cost) is less than half the required 1.3 threshold, meaning the strategy destroys roughly $1.63 for every $1.00 it earns — this is not a marginal underperformance b",
v1,bad,3,fail,0.0,False,False,True,6,"This strategy fails on three of five criteria and catastrophically fails on the most important one — cost survival. The post-cost profit factor of 0.58–0.61 means the strategy returns less than 62 cents for every dollar it risks, a structural money-losing proposition regardless of regime or position",
v1,overfitted,1,fail,0.0,False,False,True,5,"This strategy fails two criteria outright and shows serious weakness on a third, making the aggregate evidence unconvincing for a durable post-cost edge. The economic mechanism — buying RSI-oversold dips while price remains above the 50 EMA — is conceptually legitimate, but the implementation eviden",
v1,overfitted,2,fail,0.0,False,False,True,5,"This strategy fails three of five evaluation criteria and should not proceed to live trading. The economic mechanism (oversold mean-reversion filtered by trend context) is conceptually valid, but the implementation produces no durable, measurable edge after costs. The walk-forward efficiency of 0.09",
v1,overfitted,3,fail,0.0,False,False,True,6,"This strategy fails three of five criteria and should not proceed to live trading. The post-cost profit factor of 1.02–1.04 is the most damning signal: after realistic costs are already embedded, the strategy returns essentially nothing — any live execution variance, funding costs, or market impact ",
v1,solid,1,pass,0.0,True,True,True,5,"The EMA Trend Pullback strategy demonstrates a credible, durable edge across all five criteria. The mechanism — buying RSI oversold pullbacks only when price holds above the 50 EMA — is a well-grounded behavioural inefficiency: it captures mean-reversion bounces while the trend filter suppresses fal",
v1,solid,2,pass,0.0,True,True,True,5,"The EMA Trend Pullback strategy clears all five criteria with meaningful margin. The economic mechanism is sound — RSI oversold below a rising EMA captures genuine behavioural dynamics (panic selling within a structural uptrend), and the asymmetric 2:1 R:R structure (4% TP / 2% SL) is appropriate fo",
v1,solid,3,pass,0.0,True,True,True,5,The EMA Trend Pullback strategy clears all five evaluation criteria with meaningful margin. The mechanism — buying oversold pullbacks (RSI < 30) within an established uptrend (price > EMA_50) — is a genuine behavioral inefficiency rooted in institutional buy-the-dip behavior and the tendency of tren,
v1,borderline,1,fail,0.0,False,,,5,"The strategy fails on two criteria — cost survival (PF 1.28, below the 1.3 post-cost threshold) and regime robustness (catastrophic Sharpe collapse from +1.21 to -0.43 across consecutive slices) — which triggers a composite failure per the evaluation rubric. The economic mechanism is legitimate: buy",
v1,borderline,2,fail,0.0,False,,,5,"The strategy has a coherent economic mechanism and acceptable walk-forward efficiency, but it fails on two criteria that together undermine confidence in a live edge. First, the post-cost profit factor of 1.22–1.28 falls below the 1.30 threshold, meaning the margin between gross edge and costs is to",
v1,borderline,3,fail,0.0,False,,,5,"The strategy carries a plausible mean-reversion mechanism (RSI oversold in an uptrend context) and produces a statistically adequate trade count with a walk-forward efficiency that clears the minimum bar. However, it fails on the critical cost-survival criterion — a post-cost profit factor of 1.28 (",
v2,bad,1,fail,0.09,False,False,True,5,"This strategy triggers the hard auto-fail rule: PF_tw = 0.58, which is firmly below the 1.0 minimum required for positive expectancy — the strategy destroyed capital on a trade-weighted basis across all three slices. Even setting aside the auto-fail, the composite score of 0.09 reflects near-zero su",
v2,bad,2,fail,0.09,False,False,True,5,"This strategy triggers the hard auto-fail rule: PF_tw = 0.58, which is below the minimum threshold of 1.0, indicating negative expectancy across the backtest window. The composite score of 0.09 confirms this independently — every material sub-score is at or near floor. The pf_score is 0.0 (PF_tw dee",
v2,bad,3,fail,0.09,False,False,True,6,"This strategy fails on a hard auto-fail rule: PF_tw = 0.58, which is below the 1.0 minimum required for positive expectancy. Every slice recorded a negative PnL, driving consistency_score to 0.0, and the sample_size_score also floors at 0.0 with exactly 20 trades. The only non-zero contributions com",
v2,overfitted,1,fail,0.33,False,False,True,6,"The strategy fails to clear the 0.50 probation threshold, scoring 0.33. No hard auto-fail is triggered — PF_tw is 1.02 (above 1.0), trade count is sufficient, and the mechanism (RSI-oversold dip-buy filtered by EMA trend) is plausible if generic. The verdict is driven by two catastrophically low sub",
