scenario_id,regime,mechanism,outcome,context,gold_ids
S47,,momentum,unchanged,"The strategy scores 0.41 and fails the composite threshold. No hard auto-fail is triggered (PF_tw = 1.1392 > 1.0, 42 trades, mechanism_score = 0.5), but the combination of a weak profit factor and poor slice consistency drives the result below the minimum viable 0.50. Only 2 of 5 slices are profitab",
S46,,,unchanged,"The strategy scores 0.41, falling below the 0.50 probation floor. The primary drag is the low trade-weighted profit factor (1.1392), which produces a pf_score of only 0.28 — the weakest sub-score and the most reliable signal of thin edge. Consistency compounds the problem: only 2 of 5 slices were pr",
S45,,,unchanged,"The strategy fails to clear the 0.50 composite threshold primarily due to weak consistency (2/5 slices profitable) and a thin trade-weighted profit factor of 1.14, which contributes a pf_score of only 0.28. Three of five slices are loss-making: the trending_bear slice is expected to underperform for",
S44,,,unchanged,"The strategy scores 0.41, falling below the 0.50 probation floor. No hard auto-fails are triggered (PF_tw = 1.14 > 1.0, 42 trades, mechanism is plausible), but two sub-scores drag the composite down decisively. The pf_score of 0.28 reflects a trade-weighted profit factor of only 1.14 — barely above ",
S43,,,unchanged,"The strategy scores 0.41 and fails the verdict threshold. No hard auto-fail is triggered (PF_tw = 1.1392 > 1.0, 42 trades ≥ 20, mechanism ≠ 0.0), but the composite score is dragged below the probation floor primarily by weak consistency (0.40) and a thin profit-factor advantage (PF score 0.28). Only",
S42,,,unchanged,"RSI_BB_IndExit_Mid fails primarily on regime robustness and shows serious concerns on cost survival and statistical significance. The aggregate mean Sharpe of 2.79 is deeply misleading — it is the arithmetic average of {-3.24, -14.58, +38.96, +10.91, -18.08}, a distribution so bimodal that the mean ",
S41,,,unchanged,"This strategy fails primarily on regime robustness and the reliability of its aggregate statistics. The headline Sharpe mean of 2.79 is deeply misleading — it is almost entirely manufactured by a single outlier slice (slice 3, Sharpe 38.96 in a trending bull), while three of five slices post deeply ",
S40,,,unchanged,"This RSI mean-reversion strategy has a valid theoretical mechanism, but the backtest evidence does not support a durable post-cost edge. Performance is highly regime-fragile: the strategy clearly works only in trending_bull conditions (slice 3: +10.27% PnL, PF 3.24), while producing losses in the be",
S39,,,unchanged,"This strategy fails adversarial review primarily on regime robustness and cost survival, with compounding concerns across all five criteria. The aggregate profit factor of 1.3485 barely clears the threshold, but this mean is severely distorted by a single outlier slice (slice 3, PF 3.24) — the media",
S38,,,unchanged,"This MACD crossover strategy with asymmetric 2%SL/6%TP exits has a plausible economic mechanism and adequate sample size, but it fails the cost survival threshold (post-cost PF 1.2941 vs. required 1.30) and exhibits unreliable regime robustness — the high_vol regime, which accounts for 3 of 5 slices",
S37,,,unchanged,"This MACD crossover momentum strategy on ETH/USDT 1h has a plausible economic mechanism and sufficient trade count, but fails on the critical profit factor threshold (1.2941 vs. 1.30 required) and exhibits deeply concerning performance variance within the same labeled regime. Two of five slices post",
S36,,,unchanged,"This MACD crossover strategy on ETH/USDT 1h has a theoretically valid mechanism and sufficient trade count, but it fails on two criteria: the post-cost profit factor of 1.2941 falls below the required 1.3 threshold, and the dominant tested regime (high_vol across 3 of 5 slices) produces wildly incon",
