arm,rung,case,repeat,json_valid,verdict,score,deployed,correct,expected_deploy,in_tokens,out_tokens,latency_s,error,response_chars
groq_llama3.1_8b,P0,bad,0,True,probation,0.65,True,False,False,1359,735,1.29,,2729
groq_llama3.1_8b,P0,bad,1,True,probation,0.63,True,False,False,1359,478,0.98,,1989
groq_llama3.1_8b,P0,bad,2,True,pass,0.98,True,False,False,1359,854,1.76,,3370
groq_llama3.1_8b,P0,overfitted,0,True,pass,0.82,True,False,False,1375,476,1.08,,1781
groq_llama3.1_8b,P0,overfitted,1,True,fail,0.32,False,True,False,1375,448,0.88,,1852
groq_llama3.1_8b,P0,overfitted,2,True,probation,0.73,True,False,False,1375,287,0.67,,1118
groq_llama3.1_8b,P0,solid,0,True,probation,0.78,True,True,True,1381,609,1.14,,2076
groq_llama3.1_8b,P0,solid,1,True,probation,0.68,True,True,True,1381,932,1.73,,3682
groq_llama3.1_8b,P0,solid,2,True,probation,0.83,True,True,True,1381,343,0.84,,1391
groq_llama3.1_8b,P0,borderline,0,True,fail,0.72,False,,,1359,958,1.55,,3480
groq_llama3.1_8b,P0,borderline,1,False,,,,,,1359,358,0.84,,1319
groq_llama3.1_8b,P0,borderline,2,True,probation,0.61,True,,,1359,437,1.02,,1841
groq_llama3.1_8b,P1,bad,0,True,probation,5.0,True,False,False,1530,714,1.37,,2794
groq_llama3.1_8b,P1,bad,1,True,probation,53.0,True,False,False,1530,755,1.44,,2974
groq_llama3.1_8b,P1,bad,2,False,,,,,False,1530,317,0.87,,1422
groq_llama3.1_8b,P1,overfitted,0,True,fail,0.56,False,True,False,1546,505,1.21,,2158
groq_llama3.1_8b,P1,overfitted,1,True,probation,0.75,True,False,False,1546,655,1.32,,2720
groq_llama3.1_8b,P1,overfitted,2,True,probation,0.65,True,False,False,1546,336,0.83,,1327
groq_llama3.1_8b,P1,solid,0,True,pass,0.85,True,True,True,1552,513,0.95,,2053
groq_llama3.1_8b,P1,solid,1,True,probation,0.72,True,True,True,1552,452,1.05,,1891
groq_llama3.1_8b,P1,solid,2,True,probation,0.73,True,True,True,1552,808,1.42,,3548
groq_llama3.1_8b,P1,borderline,0,True,probation,0.73,True,,,1530,1063,2.02,,4212
groq_llama3.1_8b,P1,borderline,1,True,pass,0.75,True,,,1530,355,0.81,,1492
groq_llama3.1_8b,P1,borderline,2,True,probation,0.66,True,,,1530,547,1.04,,2066
groq_llama3.1_8b,P2,bad,0,True,fail,0.23,False,True,False,1741,890,1.75,,2890
groq_llama3.1_8b,P2,bad,1,True,fail,0.23,False,True,False,1741,625,1.18,,1603
groq_llama3.1_8b,P2,bad,2,True,fail,0.23,False,True,False,1741,730,1.21,,1907
groq_llama3.1_8b,P2,overfitted,0,True,pass,0.35,True,False,False,1757,830,1.43,,2320
groq_llama3.1_8b,P2,overfitted,1,False,,,,,False,1757,880,1.55,,2505
groq_llama3.1_8b,P2,overfitted,2,True,probation,0.45,True,False,False,1757,598,1.0,,1659
groq_llama3.1_8b,P2,solid,0,False,,,,,True,1763,881,1.31,,2499
groq_llama3.1_8b,P2,solid,1,True,pass,0.95,True,True,True,1763,834,1.5,,2545
groq_llama3.1_8b,P2,solid,2,True,pass,0.7,True,True,True,1763,889,1.58,,2796
groq_llama3.1_8b,P2,borderline,0,True,pass,0.51,True,,,1741,1366,2.43,,4588
groq_llama3.1_8b,P2,borderline,1,True,fail,0.57,False,,,1741,900,1.55,,2822
groq_llama3.1_8b,P2,borderline,2,True,probation,0.75,True,,,1741,753,1.47,,2256
groq_llama3.1_8b,P3,bad,0,True,probation,0.65,True,False,False,1851,970,2.16,,3326
groq_llama3.1_8b,P3,bad,1,False,,,,,False,1851,1190,2.09,,3944
groq_llama3.1_8b,P3,bad,2,True,fail,0.23,False,True,False,1851,234,0.6,,789
groq_llama3.1_8b,P3,overfitted,0,True,probation,0.42,True,False,False,1867,569,1.18,,1873
groq_llama3.1_8b,P3,overfitted,1,True,probation,0.42,True,False,False,1867,530,1.01,,1620
groq_llama3.1_8b,P3,overfitted,2,True,probation,0.27,True,False,False,1867,979,1.81,,3011
groq_llama3.1_8b,P3,solid,0,True,probation,0.56,True,True,True,1873,546,1.16,,2206
groq_llama3.1_8b,P3,solid,1,True,probation,0.65,True,True,True,1873,564,0.98,,1596
groq_llama3.1_8b,P3,solid,2,True,pass,0.65,True,True,True,1873,457,1.0,,1396
groq_llama3.1_8b,P3,borderline,0,True,probation,0.6,True,,,1851,1030,1.98,,3083
groq_llama3.1_8b,P3,borderline,1,True,probation,0.52,True,,,1851,633,1.23,,2016
groq_llama3.1_8b,P3,borderline,2,True,fail,0.35,False,,,1851,346,0.77,,1266
groq_llama3.1_8b,P4,bad,0,True,probation,0.44,True,False,False,1962,346,0.92,,1491
groq_llama3.1_8b,P4,bad,1,True,probation,0.43,True,False,False,1962,269,0.64,,977
groq_llama3.1_8b,P4,bad,2,True,fail,0.47,False,True,False,1962,771,1.4,,2481
groq_llama3.1_8b,P4,overfitted,0,True,fail,0.33,False,True,False,1978,1072,1.84,,3043
groq_llama3.1_8b,P4,overfitted,1,True,probation,0.47,True,False,False,1978,1023,1.9,,3292
groq_llama3.1_8b,P4,overfitted,2,True,fail,0.29,False,True,False,1978,350,0.8,,1336
groq_llama3.1_8b,P4,solid,0,True,probation,0.51,True,True,True,1984,682,1.18,,1842
groq_llama3.1_8b,P4,solid,1,True,probation,0.54,True,True,True,1984,541,1.03,,1681
groq_llama3.1_8b,P4,solid,2,True,fail,0.35,False,False,True,1984,302,0.71,,1182
groq_llama3.1_8b,P4,borderline,0,True,probation,0.52,True,,,1962,1034,1.7,,3024
groq_llama3.1_8b,P4,borderline,1,True,probation,0.48,True,,,1962,268,0.91,,1016
groq_llama3.1_8b,P4,borderline,2,True,fail,0.62,False,,,1962,617,1.11,,1675
claude_sonnet,P4,bad,0,True,fail,0.09,False,True,False,,890,,,2462
claude_sonnet,P4,bad,1,True,fail,0.09,False,True,False,,1034,,,2726
claude_sonnet,P4,bad,2,True,fail,0.09,False,True,False,,898,,,2323
claude_sonnet,P4,overfitted,0,True,fail,0.33,False,True,False,,1116,,,2944
claude_sonnet,P4,overfitted,1,True,fail,0.33,False,True,False,,1064,,,2644
claude_sonnet,P4,overfitted,2,True,fail,0.33,False,True,False,,1036,,,2713
claude_sonnet,P4,solid,0,True,pass,0.95,True,True,True,,1038,,,2659
claude_sonnet,P4,solid,1,True,pass,0.95,True,True,True,,1053,,,2390
claude_sonnet,P4,solid,2,True,pass,0.95,True,True,True,,1126,,,2642
claude_sonnet,P4,borderline,0,True,probation,0.66,True,,,,1148,,,2580
claude_sonnet,P4,borderline,1,True,probation,0.65,True,,,,887,,,2435
claude_sonnet,P4,borderline,2,True,probation,0.65,True,,,,1053,,,2550
